City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,albertina,-22.2008,-46.6158,28.3,29,0,1.57,BR,1691513113
115,tura,25.5198,90.2201,23.88,99,100,2.62,IN,1691513113
116,khovd,48.0056,91.6419,19.87,50,100,2.34,MN,1691513113
117,ta`u,-14.2336,-169.5144,27.02,74,95,5.59,AS,1691513114
118,isafjordur,66.0755,-23.124,12.02,62,20,4.12,IS,1691513114
119,wailua homesteads,22.0669,-159.378,27.44,80,100,10.8,US,1691513114
120,zebbug,35.8719,14.4411,27.88,51,20,2.06,MT,1691513114
121,invercargill,-46.4,168.35,3.34,94,99,1.79,NZ,1691512936
122,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,6.69,EC,1691513114
123,manzanares,38.9991,-3.3699,39.79,10,42,5.9,ES,1691513114
124,queenstown,-31.8976,26.8753,12.28,63,91,3.29,ZA,1691513119
125,ganjam,19.3833,85.0667,29.82,69,100,1.5,IN,1691513119
126,enshi,30.3,109.4833,25.25,94,69,0.38,CN,1691513119
127,gulbarga,17.3333,76.8333,26.67,68,100,6.66,IN,1691513120
128,tomatlan,19.9333,-105.25,33.2,57,4,1.71,MX,1691513120
129,fort bragg,35.139,-79.006,31.22,57,20,4.12,US,1691513120
130,shakhtersk,48.0625,38.5167,26.49,40,0,3.24,UA,1691513120
131,fale old settlement,-9.3852,-171.2468,28.23,71,61,6.09,TK,1691513120
132,afaahiti,-17.75,-149.2833,22.93,76,50,4.41,PF,1691513120
133,rongelap,11.1635,166.8941,28.25,78,37,6.67,MH,1691513120
134,lebu,-37.6167,-73.65,14.28,56,94,2.88,CL,1691513120
135,ceerigaabo,10.6162,47.368,21.59,49,33,10.07,SO,1691513120
136,mar del plata,-38.0023,-57.5575,10.53,66,75,7.2,AR,1691513120
137,eureka,40.8021,-124.1637,15.52,92,99,0.89,US,1691513073
138,senador jose porfirio,-2.5908,-51.9542,34.15,40,26,1.07,BR,1691513121
139,icano,-28.9193,-65.3282,17.58,30,27,4.15,AR,1691513121
140,novouzensk,50.4592,48.1431,28.11,31,0,3.12,RU,1691513121
141,waslala,13.2333,-85.3833,27.98,71,100,2.13,NI,1691513121
142,taoudenni,22.6783,-3.9836,46.16,6,3,6.49,ML,1691513121
143,yorkton,51.2167,-102.4677,17.91,68,0,5.14,CA,1691513121
144,lethem,3.3803,-59.7968,34.79,45,30,2.24,GY,1691513121
145,oslo,59.9127,10.7461,18.19,99,100,1.1,NO,1691512983
146,souillac,-20.5167,57.5167,23.21,64,40,6.17,MU,1691513121
147,pisco,-13.7,-76.2167,21.03,68,20,3.6,PE,1691513121
148,brigantine,39.4101,-74.3646,27.23,66,20,8.75,US,1691513121
149,polyarnyy,69.1989,33.4478,22.04,72,0,3.84,RU,1691513121
150,tolanaro,-25.0319,46.9987,19.97,88,7,4.39,MG,1691513122
151,longyearbyen,78.2186,15.6401,10.91,58,20,7.72,SJ,1691513122
152,mil'kovo,55.6078,37.7956,24.73,78,97,3.33,RU,1691513122
153,acarau,-2.8856,-40.12,30.91,58,20,9.0,BR,1691513122
154,malaya vishera,58.8454,32.2222,20.06,62,77,2.16,RU,1691513122
155,tazacorte,28.629,-17.9293,25.08,81,75,2.06,ES,1691513122
156,palpa,-14.5336,-75.1856,27.7,36,2,3.28,PE,1691513122
157,isangel,-19.55,169.2667,20.21,70,88,6.11,VU,1691513122
158,constantia,44.1833,28.65,22.61,59,35,4.27,RO,1691512920
159,port elizabeth,-33.918,25.5701,15.61,82,40,7.2,ZA,1691513122
160,port lincoln,-34.7333,135.8667,12.66,42,5,7.09,AU,1691513122
161,ghanzi,-21.5667,21.7833,18.86,24,0,4.03,BW,1691513123
162,jinchang,38.4953,102.1739,27.44,49,92,2.08,CN,1691513123
163,glace bay,46.1969,-59.957,21.16,85,75,7.72,CA,1691513123
164,turpan,42.9333,89.1667,32.32,30,66,3.81,CN,1691513123
165,pangkalanbuun,-2.6833,111.6167,22.98,90,85,1.03,ID,1691513123
166,coquimbo,-29.9533,-71.3436,17.85,72,40,3.6,CL,1691513123
167,arteche,12.2645,125.4048,26.33,87,23,2.81,PH,1691513123
168,pyhajarvi,67.0701,27.2176,24.04,71,0,5.18,FI,1691513123
169,kili,5.6439,169.1211,27.65,76,100,2.28,MH,1691513123
170,tiksi,71.6872,128.8694,9.95,73,24,0.69,RU,1691513124
171,dwarka,22.2394,68.9678,27.28,85,100,10.06,IN,1691513124
172,bilibino,68.0546,166.4372,4.84,53,100,2.38,RU,1691513124
173,turabah,21.2141,41.6331,32.58,13,19,7.91,SA,1691513124
174,san antonio de pale,-1.4014,5.6325,23.4,75,27,5.06,GQ,1691513124
175,twon-brass,4.3151,6.2418,26.2,79,31,6.17,NG,1691513124
176,cadale,2.7603,46.3222,24.91,82,66,8.19,SO,1691513124
177,lodja,-3.4833,23.4333,24.99,67,81,1.34,CD,1691513124
178,vila velha,-20.3297,-40.2925,25.97,81,20,8.23,BR,1691512980
179,dunedin,-45.8742,170.5036,6.56,71,98,3.58,NZ,1691513124
180,el calafate,-50.3408,-72.2768,1.93,80,57,2.03,AR,1691512826
181,aasiaat,68.7098,-52.8699,3.95,72,32,2.24,GL,1691513124
182,lianyuan,27.6883,111.6642,27.31,88,47,0.84,CN,1691513125
183,anadyr,64.75,177.4833,9.28,81,40,5.0,RU,1691513125
184,san patricio,28.017,-97.5169,36.04,39,0,6.46,US,1691513125
185,hanceville,34.0607,-86.7675,26.9,55,92,3.07,US,1691513125
186,luderitz,-26.6481,15.1594,17.88,63,0,10.44,NA,1691513125
187,ugoofaaru,5.6667,73.0,28.08,77,92,5.2,MV,1691513125
188,merta,26.65,74.0333,27.08,74,83,6.82,IN,1691513125
189,sao joao da barra,-21.6403,-41.0511,27.05,67,8,9.3,BR,1691513125
190,cabo san lucas,22.8909,-109.9124,35.66,40,0,6.69,MX,1691512923
191,broken hill,-31.95,141.4333,9.64,61,5,2.92,AU,1691513125
192,olean,42.0776,-78.4297,21.64,74,97,7.28,US,1691512915
193,howrah,22.5892,88.3103,27.0,94,75,2.06,IN,1691513125
194,paka,4.6374,103.4368,24.99,94,2,0.0,MY,1691513125
195,vilyuysk,63.7553,121.6247,14.63,55,1,2.77,RU,1691513126
196,castillos,-34.1667,-53.8333,14.42,57,6,4.59,UY,1691513126
197,keflavik,64.0049,-22.5624,13.95,82,40,4.63,IS,1691513126
198,tromso,69.6496,18.957,25.01,61,0,4.12,NO,1691513126
199,howard springs,-12.497,131.047,23.95,82,23,2.53,AU,1691513127
200,tsiombe,-25.3,45.4833,20.57,82,5,4.87,MG,1691513127
201,conceicao da barra,-18.5933,-39.7322,26.95,61,7,4.33,BR,1691513127
202,anloga,5.7947,0.8973,25.45,83,49,7.58,GH,1691513127
203,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1691513127
204,odda,60.0691,6.5457,12.65,99,100,4.73,NO,1691513127
205,swan hill,-35.3378,143.5544,6.89,90,4,2.72,AU,1691513127
206,svetlyy,54.675,20.1347,14.03,73,79,8.25,RU,1691513127
